title,org,category,tags,source_of_finance,project_title,eligibility,contractor_class,performance_period,place_of_performance,dossier_fee,pre_bid_meeting,contact_email,created_date,submission_deadline,submission_time,pdf_url,pdf_accessible,description,detail_url
Judiciary - Procurement Of (1) One SUV  Vehicle,THE JUDICIARY,Infrastructure,Vehicles,Government of Seychelles,Procurement of (1) One SUV Vehicle,All licensed and registered Motor Vehicle dealers operating inSeychelles are eligible to tender on equal terms.,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,25 February 2026.,2026-03-16,10:30,https://www.ntb.sc/media/tender-files/Advert_for_Procurement_of_1_Mid_Range_Suv_vehicle_for_Judiciary_Process_Servers_fin.docx,False,"Posted in Advertised Tenders . THE JUDICIARY OF SEYCHELLES INVITATION TO TENDER The Judiciary invites tenders for PROCUREMENT OF (1) ONE SUV VEHICLE Source of Finance : Government of Seychelles Project Title  :Procurement of (1) One SUV Vehicle Eligibility:All licensed and registered Motor Vehicle dealers operating inSeychelles are eligible to tender on equal terms. Subject :  The van is to be used for the Staff transportation. Period of Delivery:Three (3) months from the Date of Contract Award Access to Tender Dossier:The Tender Dossier can be obtained from the Procurement Section Office, Judiciary Supreme Court, Palais des Justices, Ile du Port, Mahé, Seychelles as from Friday 27th February, 2026 to Thursday 5th March, 2026 NOTE: The tender dossier is available for free for all interested bidders. Soft Copy of the Tender Dossiers can be obtained via E- Mail to This email address is being protected from spambots. You need JavaScript enabled to view it. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/judiciary-procurement-of-1-one-suv-vehicle
Centralized sewerage extension at Military Training Centre - Perseverance,PUBLIC UTILITIES CORPORATION,Infrastructure,,The Public Utilities Corporation (PUC),C entralized sewerage extension at Military Training Centre - Perseverance,All Locally Registered Contractors with a valid Class One (1) license operating in Seychelles.,Class One,,,SR 500.00,27th February 2026 at 10:00am,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,17 February 2026.,2026-03-16,10:00,https://www.ntb.sc/media/tender-files/Tender_Press_Notice_-_Centralized_sewerage_extension_at_Coast_Guard_-_Perseverance.pdf,True,"Posted in Advertised Tenders . Project Title : C entralized sewerage extension at Military Training Centre - Perseverance Eligibility: All Locally Registered Contractors with a valid Class One (1) license operating in Seychelles. Subject: PUC intends to undertake an extension of it’s sewerage network in the Perseverance area, in the Military training centre compound. The Works shall comprise of the following: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/centralized-sewerage-extension-at-military-training-centre-perseverance
Waste Bin Collection Services on Mahé,PUBLIC UTILITIES CORPORATION,Infrastructure,,The Public Utilities Corporation (PUC),Waste Bin Collection Services on Mahé,All locally registered waste,,,,SR 300.00,"03rd March 2026 at
10:00 hrs",ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,17 February 2026.,2026-03-12,10:00,https://www.ntb.sc/media/tender-files/Press_notice-_Waste_Collection_2026.pdf,True,"Posted in Advertised Tenders . Project Title: Waste Bin Collection Services on Mahé Eligibility: All locally registered waste collection operators who can provide the service in line with PUC’s scope of work within the specified time frame. Subject: Bids are invited for the provisions of waste bin collection services at its various premises on Mahé only. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/waste-bin-collection-services-on-mahe
Pre-qualification of SERVICE PROVIDERS for THE “Holiday Program.,,Infrastructure,,,,,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 February 2026.,2026-03-03,11:00,https://www.ntb.sc/media/tender-files/advert_-_EXPRESSION_OF_INTEREST_-_holiday_programme_fin.pdf,True,"Posted in Advertised Tenders . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/pre-qualification-of-service-providers-for-the-holiday-program
Construction Of Additional Toilet Facilities At Plaisance Primary School & Creche,SEYCHELLES INFRASTRUCTURE AGENCY,Housing,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 and 2 registered and licensed to operate in Seychelles.,Class 1,12 Calendar Weeks,PLAISANCE PRIMARY SCHOOL,,"17th
February 2026 at 10:00 am",ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 February 2026.,2026-03-04,10:30,https://www.ntb.sc/media/tender-files/ADVERT_-_Additional_toilet_plaisance_school_fin.pdf,True,"Posted in Advertised Tenders . SEYCHELLES INFRASTRUCTURE AGENCY INVITATION TO TENDER Construction Of Additional Toilet Facilities At Plaisance Primary School & Creche SOURCE OF FINANCE: Government of Seychelles ELIGIBILITY: The following are eligible to tender on equal terms. Contractors Class 1 and 2 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-additional-toilet-facilities-at-plaisance-primary-school-creche
Resurfacing Of Concrete Flooring At The Afrs Appliance Bay At The Seychelles International Airport,Seychelles Airports Authority,Roads & seawalls,,Seychelles Airports Authority,,,Class I,Twelve (12) weeks from Award of Contract,Seychelles International Airport,SR 300,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,04 February 2026.,2026-02-26,10:30,https://www.ntb.sc/media/tender-files/Advert.pdf,True,"Posted in Advertised Tenders . Resurfacing Of Concrete Flooring At The Afrs Appliance Bay At The Seychelles International Airport Source Of Finance : Seychelles Airports Authority Eligibility : The following are eligible to tender on equal terms. All contractors Class I and II only registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/resurfacing-of-concrete-flooring-at-the-afrs-appliance-bay-at-the-seychelles-international-airport
Provision of Maintenance Services at Health Care Facilities,Health Care Agency,Infrastructure,,Health Care Agency,,The following are eligible to tender on equal terms. Contractors Class 2 and 3 ONLY registered and licensed to operate in Seychelles.,Class 2,,"Anse Royale Hospital, Wellness Centre Les Canelles, Family Hospital, Ile Perseverance, Baie Ste Anne Praslin Hospital & Grand Anse Praslin Clinic Crea",,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,30 January 2026.,2026-02-23,10:00,https://www.ntb.sc/media/tender-files/ADVERT_-_Procurement_of_Maintenance_Services_at_Health_Care_Facilities_Final2.pdf,True,"Posted in Advertised Tenders . The Health Care Agency (HCA) invites tenders for the Provision of Maintenance Services at Health Care Facilities SOURCE OF FINANCE: Health Care Agency ELIGIBILITY:  The following are eligible to tender on equal terms. Contractors Class 2 and 3 ONLY registered and licensed to operate in Seychelles. Conditions: Bidders must have qualified technical staff and necessary equipment to perform the services PLACE OF PERFORMANCE: Anse Royale Hospital, Wellness Centre Les Canelles, Family Hospital, Ile Perseverance, Baie Ste Anne Praslin Hospital & Grand Anse Praslin Clinic The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/provision-of-maintenance-services-at-health-care-facilities
"Construction Of Retaining Wall, Steps, Railing And Drainage – Quatre Bonne, Takamaka",Seychelles Infrastructure Agency,Infrastructure,,"Ministry Of Environment, Climate, Energy And Natural Resources",,The following are eligible to tender on equal terms. Contractors Class 1 & Class 2 registered and licensed to operate in Seychelles.,"Class 1, Class 2",24 Calendar Weeks,Takamaka,SR 300.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,20 January 2026.,2026-02-09,10:00,https://www.ntb.sc/media/tender-files/TENDER_ADVERT_-__PROPOSED_DRAIN_AT_HORTERES_PROPERTY_-_QUATRE_BONNE_TAKAMAKA_FINAL.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency on behalf of the Ministry Of Environment, Climate, Energy And Natural Resources Invitation To Tender: Construction Of Retaining Wall, Steps, Railing And Drainage – Quatre Bonne, Takamaka Source Of Finance: Ministry Of Environment, Climate, Energy And Natural Resources Eligibility : The following are eligible to tender on equal terms. Contractors Class 1 & Class 2 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-retaining-wall-steps-railing-and-drainage-quatre-bonne-takamaka
Provision of Air-Conditioning Servicing and Maintenance,Public Utilities Corporation,Infrastructure,,The Public Utilities Corporation (PUC),Provision of Air-Conditioning Servicing and Maintenance.,All  local registered refrigeration mechanic.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,14 January 2026.,2026-02-10,10:00,https://www.ntb.sc/media/tender-files/Advert-AC_Servicing_and_Maintenance_Final.pdf,True,"Posted in Advertised Tenders . Source of Finance: The Public Utilities Corporation (PUC) Project Title: Provision of Air-Conditioning Servicing and Maintenance. Eligibility: All  local registered refrigeration mechanic. Scope: The scope of service outlines the requirement for the provision of preventive maintenance and servicing on air-conditioning unit installs at PUC various electricity substation across Mahe. The selected contractor shall ensure that al AC unit are maintained a good working condition through timely servicing. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/provision-of-air-conditioning-servicing-and-maintenance
PUC - Supply of 225 and 315mm HDPE (High Density Polyethylene) pipes for potable water applications,Public Utilities Corporation,Infrastructure,Good and Services,The Public Utilities Corporation (PUC),Supply of 225 and 315mm HDPE (High Density Polyethylene) pipes for potable water applications.,All local and international manufacturers / suppliers.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,17 December 2025.,2026-01-26,10:00,https://www.ntb.sc/media/tender-files/Advert_-HDPE_225__315_for_2026.docx,False,"Posted in Advertised Tenders . Source of Finance:The Public Utilities Corporation (PUC) Project Title:Supply of 225 and 315mm HDPE (High Density Polyethylene) pipes for potable water applications. Eligibility:   All local and international manufacturers / suppliers. Scope:  Bids are invited for the Supply of 225 and 315mm HDPE pipes for potable water applications. Bidders must quote for all items requested. The successful bidder will be required to deliver all the pipes within eight (8) weeks ex-works basis from the date of signing the contract document. collection of tender: Soft copy of the Tender dossier can be obtained for free of charge via email to This email address is being protected from spambots. You need JavaScript enabled to view it. cc: This email address is being protected from spambots. You need JavaScript enabled to view it. and This email address is being protected from spambots. You need JavaScript enabled to view it. or hard copy from the PUC’s Procurement Office, Maison de Malavois, Bois de Rose Avenue for a non-refundable fee of SCR 200.00 as from Thursday 18th December 2025 to Wednesday 31st December 2025 from 08:00hrs to 12:00hrs and 13.00hrs to 16.00hrs. No bidding documents shall be made available past this deadline period . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/puc-supply-of-225-and-315mm-hdpe-high-density-polyethylene-pipes-for-potable-water-applications
FSA - Procurement of One (1) Electric Vehicle (EV).,Financial Services Authority,Infrastructure,Vehicles,Financial Services Authority.,,The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,26 November 2025.,2025-12-11,10:00,,False,"Posted in Advertised Tenders . The Financial Services Authority (“FSA”) invites tenders for the Procurement of One (1) Electric Vehicle (EV). Source of finance: Financial Services Authority. Eligibility: The following are eligible to tender on equal terms. All licensed Motor Vehicle dealers operating in Seychelles. Subject: The vehicle is primarily intended to be used as an executive car to transport high level visiting delegations. When not in use for this purpose, it will be utilised for normal business activities. Period of Delivery: Four (4) Months from the date of the award of contract. Access to tender Dossier: The Tender Dossier can be obtained at the FSA’s Procurement Unit, Room 302 at Sunshine Commercial Building, Providence Industrial Estate or by emailing the Procurement Unit at This email address is being protected from spambots. You need JavaScript enabled to view it. as from Thursday 27th November 2025 between 8:30am to 3:00pm. Closing date for Dossier: The closing date for obtaining the tender dossier is Wednesday 03rd December 2025 at 12.00pm. Note: The tender documents are to be given to interested bidders for free. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/fsa-procurement-of-one-1-electric-vehicle-ev
Construction of Police Station At Ile Perseverance,Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles.,Class 1,52 Calendar Weeks,Ile Perseverance,SR 350.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,24 November 2025.,2025-12-16,10:00,https://www.ntb.sc/media/tender-files/Advert_-_Construction_of_a_Police_Station_at_Ile_Perseverance_Final.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency On Behalf Of The Ministry Of Internal Affairs  (Mia): invitation to tender: Construction of Police Station at Ile Perseverance Source of Finance: Government of Seychelles The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-police-station-at-ile-perseverance
HCA - Procurement of One (1) Sport Utility Vehicle (SUV).,Health Care Agency,Infrastructure,Vehicles,Health Care Agency,Procurement of One (1) Sport Utility Vehicle (SUV) for Health Care Agency,All licensed and registered Motor Vehicle dealers operating in Seychelles are eligible to tender on equal terms.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,17 November 2025.,2025-12-09,10:00,https://www.ntb.sc/media/tender-files/ADVERT_-_PROCUREMENT_OF_ONE_1_SPORT_UTILITIES_VEHICLE_SUV_FOR_HEALTH_CARE_AGENCY_FINAL.docx,False,"Posted in Advertised Tenders . The Health Care Agency invites tenders for the Procurement of One (1) Sport Utility Vehicle (SUV). for Health Care Agency SOURCE OF FINANCE : Health Care Agency Project Title : Procurement of One (1) Sport Utility Vehicle (SUV) for Health Care Agency Eligibility : All licensed and registered Motor Vehicle dealers operating in Seychelles are eligible to tender on equal terms. Subject :  Vehicles is to be used for Home Visit Period of Delivery  : Four (4) Month from the date of Contract Award Access to tender Dossier : The tender Dossiers can be obtained at Health Care Agency, Procurement Unit, Central Medical Store Building, Seychelles Hospital, Mont Fleuri as from Wednesday 19th November 2025 between 9.00am to 2.30pm Closing date for Dossier:  The closing date for obtaining the tender dossier is Wednesday 26th November 2025 at 2.30pm No bidding documents shall be made available past this deadline period Note: The tender documents are to be given to the interested bidders for free. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/hca-procurement-of-one-1-sport-utility-vehicle-suv
