title,org,eoi_type,category,tags,created_date,submission_deadline,submission_time,description,pdf_url,pdf_text,detail_url
SCAA - LIFT TRUCK,Posted in Expression of Interest,EOI,Infrastructure,Vehicles,13 May 2024.,2024-06-06,10:30,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-lift-truck
"Procurement for the supply, installation, and commissioning of new Advance Visual Guidance Docking System (AVGDS)",Posted in Expression of Interest,Limited Bidding,Infrastructure,,02 May 2024.,2024-05-09,15:00,"Posted in Expression of Interest . The SCAA wishes to seek service for the supply, installation, and commissioning of new Advance Visual Guidance Docking System (AVGDS) through the use of ""Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of the procurement is to acquire a system that can provide accurate guidance to pilots for safe docking of aircraft at the Seychelles International Airport. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-the-supply-installation-and-commissioning-of-new-advance-visual-guidance-docking-system-avgds
Printing Of New Stock Of Promotional Items,Tourism Department,Limited Bidding,Infrastructure,,02 May 2024.,2024-05-10,15:00,"Posted in Expression of Interest . The Tourism Department wishes to inform interested parties that it will be undertaking the Procurement of printing new promotional materials inclusive of its main destination brochure and niche brochure using the Limited Bidding Method in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of this procurement is to restock items used when executing its various promotional activities. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/eoi_advertprintingofnewstockofbrochure_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/printing-of-new-stock-of-promotional-items
PUC-33KV,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,25 April 2024.,2024-05-14,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-33kv
PROCUREMENT OF 33kV CABLES,Public Utilities Corporation,Limited Bidding,Infrastructure,,04 April 2024.,2024-04-12,04:00,"Posted in Expression of Interest . The Public Utilities Corporation (PUC) wishes to inform interested parties that it will be undertaking the Procurement of 33kV Cables using the Limited Bidding Method under Section 61 2 (a) of the Public Procurement Act 2008. This is on the grounds of restricted qualified sources to provide the goods as per specifications. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/-33kv_cables_2004.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-33kv-cables
Procurement Of Consultancy Services For The Development Of A Programme Certificate In Domiciliary Care,National Institute of Health and Social Studies,EOI,Infrastructure,,25 March 2024.,,,"Posted in Expression of Interest . National Institute Of Health And Social Studies : Invitation For Expression Of Interest Procurement Of Consultancy Services For The Development Of A Programme Certificate In Domiciliary Care The National Institute of Health and Social Studies (NIHSS) is inviting sealed Expressions of Interest (EOI) from suitably qualified and experienced consultant(s)/Consultancy Firms to provide “Consultancy Services for the Development of a Certificate in Domiciliary Care”. The EOI is expected to lead to a Request for Proposal (RFP) for the abovementioned Consultancy Services from short-listed applicants. The EOI Document containing; can be collected from the addresses given below as from Monday 25th March 2024 to Tuesday 2nd April 2024 from 8.00am to 3.00pm. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/eoi_advert_nihss_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-consultancy-services-for-the-development-of-a-programme-certificate-in-domiciliary-care
SFRSA -RIV  & FIRE TENDER,Posted in Expression of Interest,EOI,Infrastructure,Vehicles,21 March 2024.,2024-04-22,10:00,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/sfrsa-riv-fire-tender
Procurement For Services For Aeronautical Obstacle Survey At The Seychelles International Airport And Praslin Airport,Posted in Expression of Interest,Limited Bidding,Infrastructure,,20 March 2024.,,,"Posted in Expression of Interest . The SCAA wishes to procure services from an international ISO Certified OSL Company to conduct Aeronautical Obstacle Survey at the Seychelles International Airport and Praslin Airport through the use of ""Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of this procurement is to conduct a World Geodetic System – 1984 (WGS-84) obstacle survey and have complete obstacle survey reports for aviation purposes for the Seychelles. Also to acquire aerodrome plans and table of obstacles and terrain data. The proposed shortlisted bidders are as follows: Any potential bidder requiring any information on this Procurement or wishes to express interest in participating in same, may forward their application to the address below :- Principal Procurement Officer Email: This email address is being protected from spambots. You need JavaScript enabled to view it. (Monday to Friday, Office Hours from 0800hrs 1600hrs) The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/press_notice_aeronautical_obstacle_survey_sia__pri_mar2024.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-services-for-aeronautical-obstacle-survey-at-the-seychelles-international-airport-and-praslin-airport
Tender For Consultancy Services (Project Management) For The Construction Of The New Financial Services Authority (“FSA ”) Headquarters Building.,Financial Services Authority,Limited Bidding,Infrastructure,,20 March 2024.,,,"Posted in Expression of Interest . The Financial Services Authority (“FSA”) wishes to inform the Public that it will be undertaking the procurement of Consultancy Services (Project Management) for the Construction of its new Financial Services Authority (“FSA”) Headquarters Building at Bois De Rose Avenue through the adoption of Limited Bidding Method under Clause 62. 2 (a) of the Public Procurement Act 2008. This is on the grounds of limited number of bidders with the required expertise in-house and capability to undertake the work while meeting the following eligibility criteria: The proposed shortlisted Consultants are as follows: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/press_notice_new_fsa_hq_building_-_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/tender-for-consultancy-services-project-management-for-the-construction-of-the-new-financial-services-authority-fsa-headquarters-building
SPA - Invitation For Prequalification,Posted in Expression of Interest,Prequalification,Infrastructure,,13 March 2024.,,,"Posted in Expression of Interest . The Seychelles Port Authority (SPA) intends to construct a new deck on pile structure, approximately 310m long, together with the associated revetment, reclamation and back of quay paving works and services on the south-east of the existing quays at the Commercial Port in Port Victoria. The berth pocket and navigational area are to be deepened in order to meet the functional requirements of the new quay. The scope also includes for the provision of one breasting and one mooring dolphin to facilitate the mooring of tanker vessels as well as the provision of the necessary culverts and servitude works to accommodate the relocation of the existing fuel import pipeline, import cement line and connections to be undertaken by others. The expected duration of the contract is 24 months. Prospective applicants willing to participate in the project must demonstrate suitable experience in design, construction, testing and commissioning of marine structural and civil infrastructure and in particular, the execution of piled marine structures, dredging, reclamation and coastal engineering works. The deadline for submission of prequalification documents is Friday 12th April 2024. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/spa-invitation-for-prequalification
NCSEE -  Consultancy Services for National Communications/ Stakeholder Engagement Expert (NCSEE) for the ISLANDS Project,Ministry of Agriculture,EOI,Infrastructure,,13 March 2024.,,,"Posted in Expression of Interest . Consultancy Services for National Communications/ Stakeholder Engagement Expert (NCSEE) for the ISLANDS Project The Programme and Development Coordination Section (PDCS) under the Ministry of Agriculture, Climate Change and Environment (MACCE) is inviting suitably qualified consultants to provide “Consultancy Services for National Communications/ Stakeholder Engagement Expert (NCSEE) for the ISLANDS Project”. The EOI is expected to lead to a Request for Proposal (RFP) for the above- mentioned consultancy Service from listed applicants. The Expression of Interest (EoI) Document containing: Can be collected/obtained from the address below as from Wednesday 13th March 2024 to Wednesday 20th March 2024, between 9.00am to 3.00pm. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/ncsee-consultancy-services-for-national-communications-stakeholder-engagement-expert-ncsee-for-the-islands-project
SLA - Consultancy Services for the Licenses Act and Related Regulations’ Review and Amendment,Posted inExpression of Interest,EOI,Infrastructure,,13 March 2024.,,,"Posted in Expression of Interest . Consultancy Services for the Licenses Act and Related Regulations’ Review and Amendment The Seychelles Licensing Authority (SLA) is inviting sealed Expressions of Interest (EOI) from suitably qualified and experienced Consultant(s)/Individuals/Consultancy Firms to provide “Consultancy Services for the Licenses Act and Related Regulations’ Review and Amendment”. The EOI is expected to lead to a Request for Proposal (RFP) for the above-mentioned Consultancy Services from short-listed applicants. The EOI Document containing; Can be collected from the following address given below as from Wednesday 13th March 2024 to Tuesday 19th March 2024 as from 8.00 am to 3.00 pm. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/sla-consultancy-services-for-the-licenses-act-and-related-regulations-review-and-amendment
SLA -  Consultancy Services for the Review of the License conditions and fees,Posted inExpression of Interest,EOI,Infrastructure,,13 March 2024.,,,"Posted in Expression of Interest . Consultancy Services for the Review of the License conditions and fees The Seychelles Licensing Authority (SLA) is inviting sealed Expressions of Interest (EOI) from suitably qualified and experienced Consultant(s)/Individuals/Consultancy Firms to provide “Consultancy Services for the Review of the License conditions and fees”. The EOI is expected to lead to a Request for Proposal (RFP) for the above-mentioned Consultancy Services from short-listed applicants. The EOI Document containing; Can be collected from the following address given below as from Wednesday 13th March 2024 to Tuesday 19th March 2024 as from 8.00 am to 3.00 pm. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/sla-consultancy-services-for-the-review-of-the-license-conditions-and-fees
PUC -  Undersea Cable,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,13 March 2024.,2024-03-26,11:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-undersea-cable
SCAA - Procurement of Command Vehicle,Posted in Expression of Interest,EOI,Infrastructure,Good and Services,22 February 2024.,2024-03-21,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-procurement-of-command-vehicle
Procurement Of A Rapid Intervention (Rv) And A Medium Size Fire Tender,Posted in Expression of Interest,Limited Bidding,Infrastructure,,21 February 2024.,2024-02-27,,"Posted in Expression of Interest . The Seychelles Fire and Rescue Services Agency (SFRSA), wishes to inform that the Agency intends to procure One (1) Medium size and One (1) Rapid Intervention Vehicle Fire Tender through the adoption of Limited Bidding method in line with Section 61 2 (a) of the Public Procurement Act 2008. The proposed shortlisted bidders are as follows: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/bid_notice_-_procurement_2_fire_tenders_final.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-a-rapid-intervention-rv-and-a-medium-size-fire-tender
PUC- Cartridge Filters,Posted in Expression of Interest,EOI,Infrastructure,Good and Services,05 February 2024.,2024-02-29,11:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-cartridge-filters
PUC -Ground-Mounted Transformers,Posted in Expression of Interest,EOI,Infrastructure,Good and Services,31 January 2024.,2024-02-20,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-ground-mounted-transformers
PUC- Supply of Spare Parts,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,26 January 2024.,2024-02-13,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-supply-of-spare-parts
Procurement Of Filter Cartridges For Desalination Plants,Public Utilities Corporation,Limited Bidding,Infrastructure,,12 January 2024.,2024-01-24,,"Posted in Expression of Interest . The Public Utilities Corporation (PUC) wishes to inform interested parties that it will be undertaking the procurement of 60” 5-micron filter cartridges for use at its desalination plants, through the adoption of Limited Bidding Method under Section 61 2 (a) of the Public Procurement Act 2008. This is on the grounds of restricted qualified sources to provide the goods as per specification requirement. The proposed shortlisted bidders are as follows: The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/2024-01-10-press_notice_-cartridge_filters_for_desalination_plant.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-filter-cartridges-for-desalination-plants
SCAA-   Gym Equipment,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,14 December 2023.,2024-01-17,10:30,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-gym-equipment
SCAA - TIRES,Posted inExpression of Interest,EOI,Infrastructure,Good and Services,14 December 2023.,2024-01-17,10:30,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/scaa-tires
PUC-Supply of Multi-Jet Dry Dial M,Posted in Expression of Interest,EOI,Infrastructure,Good and Services,12 December 2023.,2025-12-18,10:00,"Posted in Expression of Interest . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/puc-supply-of-multi-jet-dry-dial
MOE-PICK UP,Posted in Expression of Interest,EOI,Infrastructure,Vehicles,11 December 2023.,2023-12-14,11:30,"Posted in Expression of Interest . The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/moe-pick-up
Procurement of Tires for Fire Tenders at Seychelles International Airport,Posted in Expression of Interest,Limited Bidding,Infrastructure,,27 November 2023.,2023-11-30,10:00,"Posted in Expression of Interest . The SCAA wishes to inform that it will be procure Tires for fire vehicles for the Seychelles International Airport through the use of ""Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. The purpose of this procurement is to replenish our stock as per requirement of the International Civil Aviation Organization (ICAO). The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/media/tender-files/press_notice_-_procurement_of_tyres.pdf,,https://www.ntb.sc/tenders/expression-of-interest/procurement-of-tires-for-fire-tenders-at-seychelles-international-airport
Procurement For The Supply Of Gym Equipment For Airport Fire & Rescue Services At Seychelles International Airport,Posted in Expression of Interest,Limited Bidding,Infrastructure,,27 November 2023.,2023-11-30,10:00,"Posted in Expression of Interest . The SCAA wishes to inform that it will be procuring Gym Equipment for the Seychelles International Airport through the use of ""Limited Bidding Method” in line with Section 61 2 (a) of the Public Procurement Act of 2008. Airport Firefighters and Rescue officers require a high level of physical fitness to meet the demands of their job at the airport. The purpose of the procurement is to upgrade the Mahe facilities already in place and new equipment for Praslin Airport for training purposes. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",,,https://www.ntb.sc/tenders/expression-of-interest/procurement-for-the-supply-of-gym-equipment-for-airport-fire-rescue-services-at-seychelles-international-airport
